KOREA OUTREACH TRACKER,,Pipeline: 986,,⚠ Errors: 0,,📅 Resurrect Due: 11,,,,,,,
FLOW:  ① COLD  →  ② WARM  →  ③ TG  →  ④ BOOKED  →  [ORBIT nurture]  →  [CLOSED dead],,,,,,,,,,,,,
WHO,,STATUS,,TIMING,,STEP 1 /2,STEP 3 /4,ORBIT,,,,,
,,,,,,,,,,,,,
Entered,Project,POC Social,Stage,⚠️ Status,Last Action,Days Since,Bump #,TG Handle,Orbit Reason,Resurrect #,Resurrect,Notes,Opener
,Decibel,https://x.com/AvgNomad,Orbit,✓ Waiting,2026-02-17,16,2,,Has Team,0,2026-05-18,,A
,Decibel,https://x.com/borntobry,Orbit,✓ Waiting,2026-02-17,16,0,,Has Team,0,2026-05-18,,A
,Nomina,https://x.com/AustinKing,Warm - Interested,OVERDUE: Get TG or move to Silent,2026-02-17,16,0,,,,,,A
,Boundless,https://x.com/BoundlessBrett,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,Boundless,https://x.com/reka_eth,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,Boundless,https://x.com/jacobeverly,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,Boundless,https://x.com/zksanti,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,Melee,https://x.com/kaitrias,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,Melee,https://x.com/NickPreszler,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,Melee,https://x.com/itsmaximilian,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,Melee,https://x.com/zen_llama,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,Melee,https://x.com/kermit5329,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,Mavryk,https://x.com/mv1_Davis,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,Mavryk,https://x.com/theSamMorrow,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,Stable,https://x.com/mehler,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,Stable,https://x.com/dollardrifter,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,Titan,https://x.com/realRockyChung,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,Titan,https://x.com/defythepancake,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,Titan,https://x.com/niightwing_,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,Titan,https://x.com/Ratanabhinaww,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,Titan,https://x.com/timahhl,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,OpenAssets,https://x.com/alexandre_lores,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,OpenAssets,https://x.com/bryansbodner,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,Wildcat Labs,https://x.com/kethcode,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,Wildcat Labs,https://x.com/andfletcher1,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,Wildcat Labs,https://x.com/functi0nZer0,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,Wildcat Labs,https://x.com/d1ll0nk,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,Wildcat Labs,https://x.com/dotnet_enjoyer,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,Multipli,https://x.com/Shaaran5,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,Multipli,https://x.com/RitumbharaB,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,Multipli,https://x.com/nakul___gupta,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,strykrai,https://x.com/vascomds1,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,Breakout,https://x.com/Tradermayne,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,Breakout,https://x.com/abetrade,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,Breakout,https://x.com/unclesendit,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,Breakout,https://x.com/mk_breakout,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,Anti Fund,https://x.com/geoffreywoo,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,MeckaAI,https://x.com/jasontheutopian,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,MeckaAI,https://x.com/datorxrc,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,MeckaAI,https://x.com/NotDeu,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,Doppler,https://x.com/rox_r0x,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,BlindPay,https://x.com/joaocsb,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,BlindPay,https://x.com/bebedaselva,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,TACEO_IO,https://x.com/aisconnolly,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,TACEO_IO,https://x.com/gm_usi,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,TACEO_IO,https://x.com/aisconolIy,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,Ebisu,https://x.com/EbisuEthan,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,Rialo,https://x.com/firearrowmage,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,Rialo,https://x.com/JanCamenisch,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,Rialo,https://x.com/0xyoungin,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,Rialo,https://x.com/itachee_x,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,Rialo,https://x.com/soumeya,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,Bloom,https://x.com/cheerful_nicole,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,Bloom,https://x.com/heymanavv,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,Bloom,https://x.com/jeeanribeiro,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,Courtyard,https://x.com/chef_spin,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,Courtyard,https://x.com/zrschneider,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,Courtyard,https://x.com/jpetrich,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,Courtyard,https://x.com/LeJ3une,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,Billy Bets,https://x.com/BunchuBets,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,Billy Bets,https://x.com/jaredaugustine,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,Pear Protocol,https://x.com/literallymarvel,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,Pear Protocol,https://x.com/dinosaurteef,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,Pear Protocol,https://x.com/hufhaus9,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,Pear Protocol,https://x.com/Hashrosin_Eth,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,Manifold,https://x.com/0xcarro,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,Manifold,https://x.com/the_mattyk,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,Manifold,https://x.com/jameswoodmanv,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,Captur,https://x.com/sai__kc,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,DSRV,https://x.com/hyungkyu_hqueue,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,DSRV,https://x.com/KyusukJ,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,Gaia,https://x.com/mateo_ventures,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,Gaia,https://x.com/sydneylai,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,Gaia,https://x.com/shankuverymuchx,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,Gaia,https://x.com/narayananratish,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,OpacityNetwork,https://x.com/thepablob,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,OpacityNetwork,https://x.com/RonTuretzky,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,OpacityNetwork,https://x.com/EulerLagrange,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,OpacityNetwork,https://x.com/SealedVoid,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,T1,https://x.com/OrestTa,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,T1,https://x.com/kisaguncan,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,Balance,https://x.com/RealBalanceFun,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,Nesa,https://x.com/nesaorg,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,Nesa,https://x.com/stefanluke_,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,AminoChain,https://x.com/Amino_Chain,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,AminoChain,https://x.com/JelaniC3,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,MeshMap,https://x.com/meshmapxyz,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,MeshMap,https://x.com/Ryanrz,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,MeshMap,https://x.com/pedrocruztech,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,MeshMap,https://x.com/matt_kudo,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,Dynamic,https://x.com/mpearl_19,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,Dynamic,https://x.com/elliefarrisi,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,Dynamic,https://x.com/turbahn,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,Dynamic,https://x.com/dynamic_xyz,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,Dynamic,https://x.com/trynathaniel,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,Dynamic,https://x.com/Dilkash,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,Dynamic,https://x.com/joannatran_,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,Dynamic,https://x.com/FR3NCHL0AF,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,Neynar,https://x.com/neynarxyz,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,Neynar,https://x.com/manan19,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,Neynar,https://x.com/grin_io,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,Rails,https://x.com/rails_xyz,Orbit,✓ Waiting,2026-02-26,7,2,,Has Team,0,2026-05-27,,A
,Rails,https://x.com/0xnosh,Orbit,✓ Waiting,2026-02-26,7,2,,Has Team,0,2026-05-27,,A
,tapestry,https://x.com/nemoblackburn,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,tapestry,https://x.com/dgabeau,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,tapestry,https://x.com/mackaydavidd,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,tapestry,https://x.com/usetapestry,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,HyENA,https://x.com/CJCJCJCJ_,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,HyENA,https://x.com/Mojojojoppg,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,HyENA,https://x.com/0xSisyphus,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,strykrai,https://x.com/Tytaninc,Closed,—,2026-02-17,16,0,,,,,Account Suspended,A
,Doppler,https://x.com/soltah2013aabb,Closed,—,2026-02-17,16,0,,,,,Account Suspended,A
,AminoChain,https://x.com/maxfullstack,Closed,—,2026-02-17,16,0,,,,,Dead account,A
,Honeypot Finance,https://x.com/emilie4rio,Cold,✓ Waiting,2026-03-03,2,2,,,,,,A
,Turtle,https://x.com/OKDunc,Cold,✓ Waiting,2026-03-03,2,2,,,,,,A
,Turtle,https://x.com/luis_turtle,Closed,—,2026-02-18,15,1,,,,,Dead account,A
,Sign,https://x.com/realyanxin,Cold,✓ Waiting,2026-03-03,2,2,,,,,,A
,BOS,https://x.com/EdanYago,Cold,✓ Waiting,2026-03-03,2,2,,,,,,A
,ZAR,https://x.com/tmnsky,Cold,✓ Waiting,2026-03-03,2,2,,,,,,A
,peaq,https://x.com/dorloechter,Cold,✓ Waiting,2026-03-03,2,2,,,,,,A
,Bron Wallet,https://x.com/tokarev_d,Cold,✓ Waiting,2026-03-03,2,2,,,,,,A
,Shodai Network,https://x.com/Bmulligan56,Cold,✓ Waiting,2026-03-03,2,2,,,,,,A
,Shodai Network,https://x.com/mikednorman,Cold,✓ Waiting,2026-03-03,2,2,,,,,,A
,USDAI,https://x.com/0xZergs,Cold,✓ Waiting,2026-03-03,2,2,,,,,,A
,USDAI,https://x.com/ssmccul,Cold,✓ Waiting,2026-03-03,2,2,,,,,,A
,Mira Network,https://x.com/stone_gettings,Cold,✓ Waiting,2026-03-03,2,2,,,,,,A
,Mira Network,https://x.com/Shonik,Cold,✓ Waiting,2026-03-03,2,2,,,,,,A
,Mira Network,https://x.com/karansirdesai,Cold,✓ Waiting,2026-03-03,2,2,,,,,,A
,Doppel,https://x.com/TamirMSamman,Cold,✓ Waiting,2026-03-03,2,2,,,,,,A
,Doppel,https://x.com/rahul_madduluri,Cold,✓ Waiting,2026-03-03,2,2,,,,,,A
,Mu Digital,https://x.com/hizonpm,Cold,✓ Waiting,2026-03-03,2,2,,,,,,A
,ZenGo,https://x.com/TalBeerySec,Cold,✓ Waiting,2026-03-03,2,2,,,,,,A
,ZenGo,https://x.com/ArielMGore,Cold,✓ Waiting,2026-03-03,2,2,,,,,,A
,Plasma,https://x.com/pauliepunt,Cold,✓ Waiting,2026-03-03,2,2,,,,,,A
,Plasma,https://x.com/rongplace,Cold,✓ Waiting,2026-03-03,2,2,,,,,,A
,Plasma,https://x.com/xkonjin,Cold,✓ Waiting,2026-03-03,2,2,,,,,,A
,Plasma,https://x.com/lucidxpl,Cold,✓ Waiting,2026-03-03,2,2,,,,,,A
,Plasma,https://x.com/proofofnathan,Cold,✓ Waiting,2026-03-03,2,2,,,,,,A
,Sahara AI,https://x.com/ThisIsJoules,Cold,✓ Waiting,2026-03-03,2,2,,,,,,A
,Daylight,https://x.com/jasonbadeaux,Cold,✓ Waiting,2026-03-03,2,2,,,,,,A
,Acurast,https://x.com/OlenaAcurast,Cold,✓ Waiting,2026-03-03,2,2,,,,,,A
,Fuse Energy,https://x.com/alanchanguk,Cold,✓ Waiting,2026-03-03,2,2,,,,,,A
,xmaquina,https://x.com/ZolKilla,Cold,✓ Waiting,2026-03-03,2,2,,,,,,A
,OpenEden,https://x.com/jeremyng777,Cold,✓ Waiting,2026-03-03,2,2,,,,,,A
,RISCZero,https://x.com/BoundlessBrett,Cold,✓ Waiting,2026-03-03,2,2,,,,,,A
,OpenGradient,https://x.com/advait_jayant,Cold,✓ Waiting,2026-03-03,2,2,,,,,,A
,Miden,https://x.com/midenmonk,Cold,✓ Waiting,2026-03-03,2,2,,,,,,A
,Openmind,https://x.com/SidechainGavin,Cold,✓ Waiting,2026-03-03,2,2,,,,,,A
,Openmind,https://x.com/boyuan,Cold,✓ Waiting,2026-03-03,2,2,,,,,,A
,Inference Labs,https://x.com/sudo_ron,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,ORO AI,https://x.com/ckxyz_,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,HeyElsa,https://x.com/TheDhawalS,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,Gondor,https://x.com/iatskar,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,Surf AI,https://x.com/kevinlilili98,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,Valora,https://x.com/jackie_bona,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,Rainfi,https://x.com/solwhitey,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
,LoopCrypto,https://x.com/EleniThinks,Cold,✓ Waiting,2026-03-03,2,3,,,,,,A
